Marca Temporal;Cantidad;Método;Tipo;Ingreso - Categoría;Gasto - Categoría;Descripción;Mes;Anio
12/3/2025 23:34;10000;Mercado Pago;?? Ingreso;;;Cayó del cielo;3;2025
13/3/2025 13:05;11549;Mercado Pago;?? Gasto;;Caro;McDonald Ensalada Caesar;3;2025
14/3/2025 12:58;5600;Mercado Pago;?? Gasto;;Caro;Crema + Coca (Almuerzo Caro);3;2025
14/3/2025 17:00;9100;Mercado Pago;?? Gasto;;Caro;Merienda Insólito;3;2025
16/3/2025 03:51;20450;Mercado Pago;?? Gasto;;Ocio;Tragos Hollywood;3;2025
16/3/2025 17:51;10500;Mercado Pago;?? Gasto;;Caro;Ensaimada Caro;3;2025
17/3/2025 00:10;30650;Mercado Pago;?? Deuda;;;Joaco - San Pedro;3;2025
17/3/2025 00:12;11500;Mercado Pago;?? Deuda;;;Papá - Helado SP;3;2025
17/3/2025 14:11;3000;Mercado Pago;?? Gasto;;Ocio;Rifa Vanse;3;2025
17/3/2025 14:18;53000;Mercado Pago;?? Gasto;;Caro;Cumple caro - Cena y teatro;3;2025
31/3/2025 17:07;109161,21;Mercado Pago;?? Gasto;;Ocio;Marzo;3;2025
1/4/2025 17:09;1200000;Mercado Pago;?? Ingreso;Trabajo;;Trabajo;4;2025
1/4/2025 17:13;360780;Mercado Pago;?? Gasto;;VidaAdulta;Facultad;4;2025
1/4/2025 17:29;259996,04;Mercado Pago;?? Gasto;;Ahorro;Locura Marzo;4;2025
1/4/2025 19:34;25392,99;Mercado Pago;?? Gasto;;Ocio;Auriculares;4;2025
1/4/2025 19:47;74223,96;Mercado Pago;?? Gasto;;Ahorro;;4;2025
1/4/2025 19:51;300000;Mercado Pago;?? Gasto;;Reserva;;4;2025
1/4/2025 19:57;5000;Mercado Pago;?? Gasto;;Transferencia;;4;2025
1/4/2025 19:57;5000;Efectivo;?? Ingreso;Transferencia;;;4;2025
1/4/2025 23:57;50400;Mercado Pago;?? Gasto;;Caro;Cena Pastas;4;2025
1/4/2025 23:58;8740;Mercado Pago;?? Gasto;;Caro;Estacionamiento;4;2025
1/4/2025 23:59;5000;Efectivo;?? Gasto;;Caro;Propina;4;2025
3/4/2025 13:01;12900;Mercado Pago;?? Gasto;;Ocio;Almuerzo Sonna;4;2025
4/4/2025 08:01;49500;Mercado Pago;?? Gasto;;Gym;Planet Gym;4;2025
4/4/2025 20:20;7300;Mercado Pago;?? Gasto;;Ocio;Starbucks;4;2025
4/4/2025 20:20;9140;Mercado Pago;?? Gasto;;Ocio;Alcohol Guarnieri;4;2025
5/4/2025 19:21;22500;Mercado Pago;?? Gasto;;Ocio;2x Tragos Cruza;4;2025
5/4/2025 19:22;4500;Efectivo;?? Ingreso;Transferencia;;Bloomberg Trago;4;2025
6/4/2025 12:25;7600;Mercado Pago;?? Gasto;;Ocio;Snack y Gaseosa Tomy;4;2025
6/4/2025 12:31;12696,5;Mercado Pago;?? Ingreso;Reserva;;;4;2025
6/4/2025 12:34;12696,5;Mercado Pago;?? Deuda;;;2/2 cuotas auriculares;4;2025
6/4/2025 13:02;6583,4;Mercado Pago;?? Gasto;;Ocio;Cena casa Martu;4;2025
7/4/2025 16:37;80000;Mercado Pago;?? Ingreso;Reserva;;RAM;4;2025
7/4/2025 16:38;80000;Mercado Pago;?? Gasto;;PC;RAMs;4;2025
7/4/2025 16:43;80000;Mercado Pago;?? Deuda;;;RAM;4;2025
8/4/2025 16:50;1200;Mercado Pago;?? Gasto;;Gematic;Pepas;4;2025
8/4/2025 20:42;4000;Mercado Pago;?? Gasto;;Sube;;4;2025
10/4/2025 16:23;50000;Mercado Pago;?? Ingreso;Reserva;;No tengo plata;4;2025
10/4/2025 18:38;50000;#NAME?;?? Deuda;;;No tengo plata;4;2025
10/4/2025 20:23;8200;Mercado Pago;?? Gasto;;Regalo;Regalo Gaspi;4;2025
11/4/2025 10:05;9612;Mercado Pago;?? Gasto;;Fútbol;Pedro;4;2025
11/4/2025 13:08;608,3;Mercado Pago;?? Gasto;;Sube;Subte;4;2025
11/4/2025 14:03;3972,15;Mercado Pago;?? Gasto;;Ocio;Café Martinez;4;2025
12/4/2025 18:05;3600;Mercado Pago;?? Gasto;;Fútbol;Nicky;4;2025
13/4/2025 07:03;5064,36;Mercado Pago;?? Ingreso;Worldcoin;;;4;2025
17/4/2025 17:03;8500;Mercado Pago;?? Gasto;;Ocio;Chipa y Cafe El Topo;4;2025
17/4/2025 17:03;5000;Mercado Pago;?? Gasto;;Sube;;4;2025
17/4/2025 17:29;869;Mercado Pago;?? Gasto;;Sube;;4;2025
17/4/2025 17:34;1300;Efectivo;?? Gasto;;Ocio;Ni idea;4;2025
17/4/2025 17:35;42951,25;Mercado Pago;?? Deuda;;VidaAdulta;Monotributo;4;2025
18/4/2025 18:46;7700;Mercado Pago;?? Gasto;;Ocio;Chipa y pepas Tía;4;2025
18/4/2025 18:46;1660;Mercado Pago;?? Gasto;;Ocio;Deuda Uber;4;2025
21/4/2025 12:36;3000;Mercado Pago;?? Gasto;;Regalo;Lu V y Fer A;4;2025
21/4/2025 12:41;1;Mercado Pago;?? Deuda;;;Uber Rock&Feller;4;2025
21/4/2025 13:35;5800;Mercado Pago;?? Gasto;;Caro;Chocolates Kiosco;4;2025
21/4/2025 18:40;50000;Mercado Pago;?? Deuda;;;No tengo plata;4;2025
21/4/2025 18:48;50000;Mercado Pago;?? Ingreso;Reserva;;No tengo plata;4;2025
22/4/2025 19:55;1400;Mercado Pago;?? Gasto;;Gematic;Don Satur;4;2025
23/4/2025 19:03;1400;Mercado Pago;?? Gasto;;Gematic;Son Satur;4;2025
24/4/2025 18:04;5000;Mercado Pago;?? Gasto;;Sube;;4;2025
24/4/2025 18:04;4100;Mercado Pago;?? Gasto;;Ocio;Café Starbucks;4;2025
24/4/2025 18:05;7600;Mercado Pago;?? Gasto;;Caro;Chocolates;4;2025
25/4/2025 18:07;10000;Mercado Pago;?? Gasto;;Ocio;Almuerzo Sanguche Milanesa;4;2025
26/4/2025 18:08;8600;Mercado Pago;?? Gasto;;Ocio;Fernet mas coca Funes;4;2025
26/4/2025 18:15;5275;Mercado Pago;?? Gasto;;Fútbol;Fulbito Fontecha;4;2025
29/4/2025 18:15;6700;Mercado Pago;?? Gasto;;Ocio;Cena pos misa;4;2025
30/4/2025 18:15;5000;Mercado Pago;?? Gasto;;Sube;;4;2025
30/4/2025 21:15;12800;Mercado Pago;?? Gasto;;Caro;Patitas de pollo...;4;2025
30/4/2025 23:59;80000;Mercado Pago;?? Gasto;;VidaAdulta;RAMs;4;2025
30/4/2025 23:59;42951,25;Mercado Pago;?? Gasto;;VidaAdulta;Monotributo;4;2025
30/4/2025 23:59;13799;Mercado Pago;?? Gasto;;Ocio;Uber Rock&Feller;4;2025
5/5/2025 19:46;1200000;Mercado Pago;?? Ingreso;Trabajo;;CFRF;5;2025
5/5/2025 19:50;360930;Mercado Pago;?? Gasto;;VidaAdulta;Facultad;5;2025
5/5/2025 19:53;42951,25;Mercado Pago;?? Gasto;;VidaAdulta;Monotributo ARCA;5;2025
5/5/2025 22:02;50000;Mercado Pago;?? Ingreso;Clase;;Vicky Dinetti;5;2025
5/5/2025 22:20;100000;Mercado Pago;?? Gasto;;Ahorro;Balanz;5;2025
6/5/2025 13:37;29975,55;Mercado Pago;?? Gasto;;GPT;GPT suscripción;5;2025
6/5/2025 13:42;11000;Mercado Pago;?? Gasto;;Caro;Mantequería;5;2025
8/5/2025 12:30;4720;Mercado Pago;?? Gasto;;Ocio;Cafe - Cafe Martinez;5;2025
8/5/2025 12:30;5100;Mercado Pago;?? Gasto;;Ocio;Conito + alfajor caro - Cafe Martinez;5;2025
8/5/2025 12:33;619302,47;Mercado Pago;?? Gasto;;Reserva;;5;2025
8/5/2025 13:52;3027,7;Mercado Pago;?? Gasto;;Ocio;Galletas Arroz - Garavaglia;5;2025
8/5/2025 13:59;5952,1;Mercado Pago;?? Gasto;;GMSTA;Cena Rodaje;5;2025
9/5/2025 13:54;22500;Mercado Pago;?? Gasto;;Ocio;Nacha - Ronda Cena;5;2025
10/5/2025 13:57;6387,5;Mercado Pago;?? Gasto;;Ocio;Minigolf - Nacha;5;2025
10/5/2025 13:58;1700;Mercado Pago;?? Gasto;;Ocio;Aguas - Vuelta Nacha;5;2025
10/5/2025 13:59;1900;Mercado Pago;?? Gasto;;Caro;Regaliz Bulldog;5;2025
11/5/2025 13:59;14000;Mercado Pago;?? Gasto;;Caro;Poke Salad;5;2025
11/5/2025 14:01;2400;Mercado Pago;?? Gasto;;Ocio;Medialunas y Figazzas;5;2025
11/5/2025 21:24;1600;Mercado Pago;?? Gasto;;Caro;Pepsi chiste secta;5;2025
14/5/2025 21:31;1700;Mercado Pago;?? Gasto;;Gematic;Gematic;5;2025
15/5/2025 21:32;5000;Mercado Pago;?? Gasto;;Sube;Sube;5;2025
15/5/2025 21:32;10800;Mercado Pago;?? Gasto;;Gematic;Sonna;5;2025
16/5/2025 11:17;55000;Mercado Pago;?? Ingreso;Reserva;;Balanz;5;2025
16/5/2025 11:17;55000;Mercado Pago;?? Gasto;;Ahorro;Balanz;5;2025
16/5/2025 16:56;12595;Mercado Pago;?? Gasto;;GMSTA;Cabify Rodaje Perassi;5;2025
16/5/2025 16:56;12595;Mercado Pago;?? Ingreso;Reserva;;Cabify Rodaje Perassi;5;2025
17/5/2025 16:40;50000;Mercado Pago;?? Ingreso;Reserva;;No hay plata;5;2025
17/5/2025 16:41;3500;Mercado Pago;?? Gasto;;Caro;Chocolates Caro;5;2025
19/5/2025 16:30;55000;Mercado Pago;?? Ingreso;Reserva;;Seña Bicicleta service;5;2025
19/5/2025 16:30;55000;Mercado Pago;?? Gasto;;Bicicleta;Seña Bicicleta service;5;2025
19/5/2025 16:53;25200;Mercado Pago;?? Gasto;;Transferencia;Transferencia;5;2025
19/5/2025 16:53;25200;Efectivo;?? Ingreso;Transferencia;;;5;2025
20/5/2025 19:10;1900;Mercado Pago;?? Gasto;;Gematic;Melba;5;2025
22/5/2025 08:09;1900;Mercado Pago;?? Gasto;;Gematic;UCA;5;2025
22/5/2025 11:09;110000;Mercado Pago;?? Ingreso;Reserva;;Viator;5;2025
22/5/2025 11:09;110000;Mercado Pago;?? Gasto;;GMSTA;Viator;5;2025
22/5/2025 16:09;3125;Mercado Pago;?? Gasto;;Fútbol;Fulbo;5;2025
22/5/2025 21:09;5100;Mercado Pago;?? Gasto;;GMSTA;Empanadas Rodaje;5;2025
23/5/2025 19:20;20740;Mercado Pago;?? Gasto;;Caro;Bebida, doritos, chocolate, gomistas;5;2025
23/5/2025 19:20;30620;Mercado Pago;?? Gasto;;Suscripciones/Cuotas;Suscripción GPT;5;2025
24/5/2025 10:09;6100;Mercado Pago;?? Gasto;;Caro;Mantequería;5;2025
25/5/2025 08:09;369;Mercado Pago;?? Gasto;;Sube;Sube;5;2025
26/5/2025 13:48;919;Mercado Pago;?? Gasto;;Fútbol;Sube;5;2025
26/5/2025 16:48;5000;Mercado Pago;?? Gasto;;;Alfajores;5;2025
28/5/2025 16:48;4000;Mercado Pago;?? Gasto;;Sube;Sube;5;2025
28/5/2025 16:48;13750;Mercado Pago;?? Gasto;;Ocio;Golosinas Viator;5;2025
28/5/2025 16:48;22000;Mercado Pago;?? Gasto;;Ocio;Reparación botines;5;2025
31/5/2025 09:20;336707,47;Mercado Pago;?? Ingreso;Reserva;;;5;2025
31/5/2025 11:44;25168,87;Mercado Pago;?? Gasto;;Corrección;Correción Mayo;5;2025
31/5/2025 23:58;25200;Efectivo;?? Gasto;;Transferencia;;5;2025
31/5/2025 23:59;25200;Mercado Pago;?? Ingreso;Transferencia;;;5;2025
31/5/2025 23:59;251389,03;Mercado Pago;?? Gasto;;Ahorro;;5;2025
1/6/2025 09:12;1200000;Mercado Pago;?? Ingreso;Trabajo;;CFRF;6;2025
1/6/2025 18:04;8600;Mercado Pago;?? Gasto;;Caro;Esperarndo a Caro en Cafe;6;2025
2/6/2025 14:06;5600;Mercado Pago;?? Gasto;;Ocio;Alfajores;6;2025
2/6/2025 21:06;4800;Mercado Pago;?? Gasto;;Ocio;Pizza Paula Montal;6;2025
3/6/2025 07:13;2800;Mercado Pago;?? Gasto;;Caro;Medialunas Caro;6;2025
3/6/2025 07:59;5400;Mercado Pago;?? Gasto;;Ocio;Cafe Starbucks;6;2025
3/6/2025 08:03;3200;Mercado Pago;?? Gasto;;Ocio;Medialunas Sonna;6;2025
3/6/2025 09:07;360780;Mercado Pago;?? Gasto;;VidaAdulta;Facultad;6;2025
3/6/2025 16:07;1200;Mercado Pago;?? Gasto;;Gematic;Pepas;6;2025
4/6/2025 07:01;1000;Mercado Pago;?? Gasto;;Ocio;Caramelitos de miel;6;2025
4/6/2025 11:42;2000;Mercado Pago;?? Gasto;;Sube;Sube;6;2025
6/6/2025 11:43;16500;Mercado Pago;?? Gasto;;Vivi;Vivi;6;2025
6/6/2025 11:46;12900;Mercado Pago;?? Gasto;;Ocio;Mi Gusto - UCA;6;2025
6/6/2025 11:46;40500;Mercado Pago;?? Gasto;;Caro;Franks Grill;6;2025
6/6/2025 11:47;5000;Mercado Pago;?? Gasto;;Ocio;Juguitos Desayuno;6;2025
6/6/2025 11:48;2800;Mercado Pago;?? Gasto;;Caro;Gomitas Caro;6;2025
7/6/2025 11:43;5000;Mercado Pago;?? Gasto;;Sube;Sube;6;2025
7/6/2025 11:49;40000;Mercado Pago;?? Gasto;;Ocio;Bicicleta Service;6;2025
7/6/2025 11:50;3700;Mercado Pago;?? Gasto;;Ocio;1/4kg helado grido;6;2025
7/6/2025 11:50;6773;Mercado Pago;?? Gasto;;Ocio;Biiras Lucas Varde;6;2025
7/6/2025 11:51;5793,57;Mercado Pago;?? Gasto;;Ocio;Cabify vuelta Varde;6;2025
10/6/2025 09:09;674,1;Mercado Pago;?? Gasto;;Sube;Subte;6;2025
10/6/2025 09:12;6047,87;Mercado Pago;?? Gasto;;Corrección;Corrección;6;2025
11/6/2025 09:07;6600;Mercado Pago;?? Gasto;;Caro;Starbucks;6;2025
12/6/2025 10:10;609516,03;Mercado Pago;?? Gasto;;Reserva;;6;2025
13/6/2025 17:48;2215;Mercado Pago;?? Gasto;;Ocio;Medialunas Atalaya;6;2025
13/6/2025 20:48;5000;Mercado Pago;?? Gasto;;Sube;Sube;6;2025
14/6/2025 12:46;15000;Mercado Pago;?? Gasto;;Ocio;Reparación Mochila Clarín;6;2025
14/6/2025 20:46;9060;Mercado Pago;?? Gasto;;Ocio;Sandwich en lo de Lucho;6;2025
15/6/2025 23:50;6702;Mercado Pago;?? Gasto;;Ocio;Uber al Liceo;6;2025
16/6/2025 18:52;14900;Mercado Pago;?? Gasto;;Ocio;Fernet Nicky;6;2025
16/6/2025 18:58;15100;Mercado Pago;?? Gasto;;Ocio;Faltaba para Botellas Cruza;6;2025
16/6/2025 19:05;44000;Efectivo;?? Ingreso;Reserva;;;6;2025
16/6/2025 19:15;42954,25;Mercado Pago;?? Ingreso;Reserva;;ARCA VEP;6;2025
16/6/2025 19:15;42954,25;Mercado Pago;?? Gasto;;VidaAdulta;ARCA VEP MONOTRIBUTO;6;2025
16/6/2025 19:24;4900;Mercado Pago;?? Gasto;;Caro;Café Martínez;6;2025
16/6/2025 19:57;85000;Mercado Pago;?? Ingreso;Reserva;;;6;2025
16/6/2025 20:06;30000;Mercado Pago;?? Gasto;;Ocio;Pagué de más en lo de nicky;6;2025
18/6/2025 19:24;46400;Mercado Pago;?? Ingreso;Reserva;;Cargador Gaspi;6;2025
18/6/2025 19:25;46400;Mercado Pago;?? Gasto;;Cargador;Cargador Gaspi;6;2025
18/6/2025 19:35;2100;Mercado Pago;?? Gasto;;Gematic;Oreos;6;2025
18/6/2025 19:35;12500;Mercado Pago;?? Gasto;;Caro;Tufic;6;2025
18/6/2025 20:12;4411;Mercado Pago;?? Gasto;;Ocio;Café Martinez;6;2025
19/6/2025 12:24;4250;Mercado Pago;?? Gasto;;Regalo;Regalo Nacho Casares;6;2025
19/6/2025 16:28;8250;Mercado Pago;?? Gasto;;Regalo;Regalo Gero;6;2025
19/6/2025 16:30;6645;Mercado Pago;?? Gasto;;Regalo;Regalo Pedro Stefoni;6;2025
19/6/2025 16:33;6702;Mercado Pago;?? Gasto;;Ocio;Uber vuelta casa Loli;6;2025
24/6/2025 18:23;5000;Mercado Pago;?? Gasto;;Sube;;6;2025
24/6/2025 18:24;859,33;Mercado Pago;?? Gasto;;Corrección;;6;2025
24/6/2025 18:25;20000;Efectivo;?? Gasto;;BOLUDO;perfumes;6;2025
24/6/2025 18:25;12000;Efectivo;?? Gasto;;Ocio;Entra a Bali Festejo Lauti;6;2025
24/6/2025 18:26;15000;Efectivo;?? Gasto;;Ocio;Trago Bali;6;2025
24/6/2025 18:27;6000;Efectivo;?? Ingreso;Mamá/Papá;;Uber;6;2025
24/6/2025 18:29;59750;Mercado Pago;?? Ingreso;Reserva;;Compra Dólares;6;2025
24/6/2025 18:29;59750;Mercado Pago;?? Gasto;;Dólares;Compra Dólares;6;2025
25/6/2025 20:37;1926;Mercado Pago;?? Gasto;;Sube;;6;2025
30/6/2025 14:39;14000;Mercado Pago;?? Gasto;;Ocio;Dante merienda Caty;6;2025
30/6/2025 14:39;21700;Mercado Pago;?? Gasto;;Caro;Starbucks;6;2025
30/6/2025 14:40;3000;Efectivo;?? Gasto;;Ocio;Propina Dante;6;2025
30/6/2025 14:43;4200;Mercado Pago;?? Gasto;;Ocio;Cafe Isa Lala;6;2025
30/6/2025 14:44;14700;Mercado Pago;?? Gasto;;Ocio;Fernet + Coca;6;2025
30/6/2025 14:45;60000;Mercado Pago;?? Ingreso;Reserva;;;6;2025
30/6/2025 14:45;1992;Mercado Pago;?? Gasto;;Sube;;6;2025
30/6/2025 14:45;8000;Mercado Pago;?? Gasto;;Ocio;Jevi Chocolates;6;2025
30/6/2025 14:45;272830,88;Mercado Pago;?? Ingreso;Reserva;;;6;2025
30/6/2025 14:45;270533,98;Mercado Pago;?? Gasto;;Ahorro;;6;2025
1/7/2025 11:34;1200000;Mercado Pago;?? Ingreso;Trabajo;;;7;2025
1/7/2025 11:45;100241,58;Mercado Pago;?? Gasto;;Cuota;1° Cuota Play;7;2025
1/7/2025 11:45;25808,18;Mercado Pago;?? Gasto;;Cuota;1° Cuota Joystick;7;2025
1/7/2025 11:45;17000;Mercado Pago;?? Gasto;;Ocio;14 USD Fifa25;7;2025
1/7/2025 11:55;360780;Mercado Pago;?? Gasto;;VidaAdulta;UCA;7;2025
1/7/2025 11:55;596170,24;Mercado Pago;?? Gasto;;Reserva;;7;2025
1/7/2025 11:55;8784,93;Mercado Pago;?? Gasto;;Ocio;Almuerzo Atalaya;7;2025
2/7/2025 14:58;5000;Mercado Pago;?? Gasto;;Sube;;7;2025
2/7/2025 14:58;5500;Mercado Pago;?? Gasto;;Caro;Yogurt Caro;7;2025
2/7/2025 14:59;3800;Mercado Pago;?? Gasto;;Ocio;Cafe, Martinez;7;2025
2/7/2025 14:59;3600;Mercado Pago;?? Gasto;;Almuerzo;Empanadas;7;2025
2/7/2025 15:00;3976,25;Mercado Pago;?? Gasto;;Ocio;Pepas y chocos;7;2025
2/7/2025 16:32;176725;Mercado Pago;?? Gasto;;Caro;Chapadmalal;7;2025
3/7/2025 10:44;219;Mercado Pago;?? Gasto;;Sube;Subte;7;2025
3/7/2025 11:19;10464;Mercado Pago;?? Gasto;;Ocio;Café martinez;7;2025
4/7/2025 14:11;11250;Mercado Pago;?? Gasto;;Ocio;Freddo Cena Lucas;7;2025
4/7/2025 21:11;11500;Mercado Pago;?? Gasto;;Ocio;Hamburgesas Pilar Fontecha;7;2025
5/7/2025 16:55;6000;Mercado Pago;?? Gasto;;Fútbol;Fútbol Fontecha;7;2025
5/7/2025 21:52;19600;Mercado Pago;?? Gasto;;Caro;Pizza alla pala;7;2025
6/7/2025 00:46;7539;Mercado Pago;?? Gasto;;Caro;Uber a lo de Franchu;7;2025
6/7/2025 12:26;4000;Mercado Pago;?? Gasto;;Ocio;Pan Valeria;7;2025
6/7/2025 19:28;5500;Mercado Pago;?? Gasto;;Fútbol;Beelup;7;2025
7/7/2025 09:28;63200;Mercado Pago;?? Gasto;;Ocio;Compra Dólares;7;2025
7/7/2025 09:28;3259;Mercado Pago;?? Gasto;;Ocio;Mantenimiento Tarj Brub Crédito;7;2025
7/7/2025 10:16;8550;Mercado Pago;?? Gasto;;Caro;Café Martinez;7;2025
7/7/2025 11:55;42951,25;Mercado Pago;?? Gasto;;VidaAdulta;Monotributo;7;2025
7/7/2025 12:38;32000;Mercado Pago;?? Gasto;;Transferencia;Retiro cash para Chapa;7;2025
7/7/2025 12:39;32000;Efectivo;?? Ingreso;Transferencia;;Cash para Chapa;7;2025
7/7/2025 12:51;386474,71;Mercado Pago;?? Ingreso;Reserva;;;7;2025
10/7/2025 13:23;6943,75;Mercado Pago;?? Gasto;;Fútbol;Fúlbo InterUCA;7;2025
10/7/2025 13:25;996;Brubank;?? Gasto;;Sube;;7;2025
10/7/2025 14:25;5000;Mercado Pago;?? Gasto;;Sube;Sube;7;2025
10/7/2025 15:25;3674;Mercado Pago;?? Gasto;;Ocio;Leche;7;2025
12/7/2025 13:23;7600;Mercado Pago;?? Gasto;;Ocio;Gaseosas Almuerzo Albel;7;2025
13/7/2025 14:55;7500;Mercado Pago;?? Gasto;;Ocio;Helado Lado Bueno;7;2025
14/7/2025 17:20;1600;Mercado Pago;?? Gasto;;Gematic;Don Satur;7;2025
14/7/2025 17:36;32000;Mercado Pago;?? Ingreso;Transferencia;;;7;2025
14/7/2025 17:36;32000;Efectivo;?? Gasto;;Transferencia;;7;2025
14/7/2025 20:53;12629,06;Mercado Pago;?? Gasto;;Corrección;;7;2025
15/7/2025 18:15;8075;Mercado Pago;?? Gasto;;Ocio;Almuerzo UCA;7;2025
15/7/2025 20:55;7750;Mercado Pago;?? Gasto;;Ocio;Entrada Cine;7;2025
15/7/2025 20:55;6200;Mercado Pago;?? Gasto;;Ocio;Franuis;7;2025
15/7/2025 20:55;7800;Mercado Pago;?? Gasto;;Ocio;Nuggets;7;2025
16/7/2025 17:54;14748;Mercado Pago;?? Gasto;;Caro;Tuki;7;2025
16/7/2025 19:29;4200;Mercado Pago;?? Gasto;;Ocio;Lápiz Mecánico;7;2025
18/7/2025 10:04;996;Mercado Pago;?? Gasto;;Sube/Uber/Cabify;;7;2025
18/7/2025 10:05;1900;Mercado Pago;?? Gasto;;Caro;Alfajor de Pistacho;7;2025
18/7/2025 10:06;12500;Mercado Pago;?? Gasto;;Fútbol;;7;2025
18/7/2025 10:06;7200;Mercado Pago;?? Gasto;;Comidas/Cafés;Empanadas Rodaje;7;2025
18/7/2025 10:07;1550;Mercado Pago;?? Gasto;;Comidas/Cafés;Levite Día;7;2025
18/7/2025 10:07;20000;Brubank;?? Gasto;;Transferencia;;7;2025
18/7/2025 10:08;20000;Mercado Pago;?? Ingreso;Transferencia;;;7;2025
18/7/2025 10:10;18948;Mercado Pago;?? Ingreso;Transferencia;;;7;2025
18/7/2025 10:10;18948;Brubank;?? Gasto;;Transferencia;;7;2025
19/7/2025 13:47;6125;Mercado Pago;?? Gasto;;Fútbol;;7;2025
21/7/2025 10:24;9500;Brubank;?? Gasto;;Comidas/Cafés;Chipa y churros;7;2025
21/7/2025 10:24;9500;Mercado Pago;?? Gasto;;Comidas/Cafés;Chipa y churros;7;2025
21/7/2025 10:59;2000;Brubank;?? Gasto;;Sube/Uber/Cabify;;7;2025
21/7/2025 10:59;800;Brubank;?? Gasto;;Sube/Uber/Cabify;Ecobici;7;2025
23/7/2025 11:40;6000;Mercado Pago;?? Gasto;;Bolucompras;Librería;7;2025
23/7/2025 16:26;5500;Mercado Pago;?? Gasto;;Caro;Café Esperando a Caro Uñas;7;2025
